Concentration_nM, Cell_line, Experiment, Luminescence
0.0,PC3,1,1.000000,
0.0,PC3,2,1.000000,
0.0,PC3,3,1.000000,
0.0,C4-2B,1,1.000000,
0.0,C4-2B,2,1.000000,
0.0,C4-2B,3,1.000000,
0.1,PC3,1,0.7353036,
0.1,PC3,2,0.9546146,
0.1,PC3,3,0.9257687,
0.1,C4-2B,1,0.6416691,
0.1,C4-2B,2,0.705439,
0.1,C4-2B,3,0.8637602,
0.5,PC3,1,0.689438,
0.5,PC3,2,0.8045132,
0.5,PC3,3,0.7824521,
0.5,C4-2B,1,0.2710826,
0.5,C4-2B,2,0.2377266,
0.5,C4-2B,3,0.5679253,
1.0,PC3,1,0.3420543,
1.0,PC3,2,0.4626014,
1.0,PC3,3,0.3586775,
1.0,C4-2B,1,0.2354829,
1.0,C4-2B,2,0.1472805,
1.0,C4-2B,3,0.4729467,
5.0,PC3,1,0.2154393,
5.0,PC3,2,0.2294625,
5.0,PC3,3,0.2081564,
5.0,C4-2B,1,0.2354829,
5.0,C4-2B,2,0.1499287,
5.0,C4-2B,3,0.420397,




