Days_post-treatment_initiation, Control,Treatment,
0,35.3,31.4,
0,29.2,35.2,
0,35.9,33.5,
0,35.1,33.3,
0,30.6,31.3,
0,27.7,28.9,
0,35.4,31.2
0,NA,29.5,
0,NA,33.2,
4,35.6,32.3,
4,29.7,33.4,
4,37.5,33.1,
4,36.3,32.8,
4,30.9,31.4,
4,29.3,30.5,
4,NA,31.7,
4,NA,35.1,
8,35.6,33.4,
8,30.8,33.4,
8,37,33.6,
8,35.5,30.1,
8,30.8,31.8,
8,29.8,30.3,
8,NA,30.5,
8,NA,34.9,
12,35.6,34.1,
12,32,34.9,
12,38.2,34.6,
12,37.5,32.8,
12,32,31,
12,31.7,30.2,
12,NA,32.4,
12,NA,35.7,
16,35.8,34.3,
16,32.2,34.6,
16,39,34.6,
16,36.5,32.5,
16,31.8,31.3,
16,31.5,30.5,
16,NA,32.1,
16,NA,35.9,
20,36.7,32.9,
20,32.2,34.4,
20,38.7,34.9,
20,36.7,33.5,
20,31.6,32,
20,31,31.6,
20,NA,32.6,
20,NA,36.4,
28,37,34.9,
28,34,37.5,
28,38.4,36.5,
28,37,33.9,
28,33,32.2,
28,31.2,32.5,
28,NA,33.7,
28,NA,37.8,
35,35.7,36.7,
35,36.3,38.7,
35,40.3,38.6,
35,40.1,35.7,
35,35.6,34.6,
35,35.1,35.2,
35,NA,35.3,
35,NA,41.9,
